,counts
2024-08-01 19:00:00+00:00,10565.0
2024-08-01 20:00:00+00:00,10441.0
2024-08-01 21:00:00+00:00,10630.0
2024-08-01 22:00:00+00:00,10568.0
2024-08-01 23:00:00+00:00,10611.0
2024-08-02 00:00:00+00:00,10750.0
2024-08-02 01:00:00+00:00,10676.0
2024-08-02 02:00:00+00:00,10290.0
2024-08-02 03:00:00+00:00,10619.0
2024-08-02 04:00:00+00:00,10483.0
2024-08-02 05:00:00+00:00,10487.0
2024-08-02 06:00:00+00:00,10568.0
2024-08-02 07:00:00+00:00,10496.0
2024-08-02 08:00:00+00:00,10415.0
2024-08-02 09:00:00+00:00,10575.0
2024-08-02 10:00:00+00:00,10666.0
2024-08-02 11:00:00+00:00,10698.0
2024-08-02 12:00:00+00:00,10490.0
2024-08-02 13:00:00+00:00,10534.0
2024-08-02 14:00:00+00:00,10460.0
2024-08-02 15:00:00+00:00,10490.0
2024-08-02 16:00:00+00:00,10578.0
2024-08-02 17:00:00+00:00,10434.0
2024-08-02 18:00:00+00:00,10763.0
2024-08-02 19:00:00+00:00,10757.0
2024-08-02 20:00:00+00:00,10511.0
2024-08-02 21:00:00+00:00,10479.0
2024-08-02 22:00:00+00:00,10557.0
2024-08-02 23:00:00+00:00,10717.0
2024-08-03 00:00:00+00:00,10554.0
2024-08-03 01:00:00+00:00,10726.0
2024-08-03 02:00:00+00:00,10467.0
2024-08-03 03:00:00+00:00,10546.0
2024-08-03 04:00:00+00:00,10582.0
2024-08-03 05:00:00+00:00,10588.0
2024-08-03 06:00:00+00:00,10698.0
2024-08-03 07:00:00+00:00,10483.0
2024-08-03 08:00:00+00:00,10581.0
2024-08-03 09:00:00+00:00,10429.0
2024-08-03 10:00:00+00:00,10585.0
2024-08-03 11:00:00+00:00,10875.0
2024-08-03 12:00:00+00:00,10686.0
2024-08-03 13:00:00+00:00,10757.0
2024-08-03 14:00:00+00:00,10616.0
2024-08-03 15:00:00+00:00,10731.0
2024-08-03 16:00:00+00:00,10591.0
2024-08-03 17:00:00+00:00,10604.0
2024-08-03 18:00:00+00:00,10560.0
2024-08-03 19:00:00+00:00,10526.0
2024-08-03 20:00:00+00:00,10626.0
2024-08-03 21:00:00+00:00,10672.0
2024-08-03 22:00:00+00:00,10544.0
2024-08-03 23:00:00+00:00,10521.0
2024-08-04 00:00:00+00:00,10533.0
2024-08-04 01:00:00+00:00,10526.0
2024-08-04 02:00:00+00:00,10392.0
2024-08-04 03:00:00+00:00,10562.0
2024-08-04 04:00:00+00:00,10412.0
2024-08-04 05:00:00+00:00,10398.0
2024-08-04 06:00:00+00:00,10531.0
2024-08-04 07:00:00+00:00,10696.0
2024-08-04 08:00:00+00:00,10836.0
2024-08-04 09:00:00+00:00,10506.0
2024-08-04 10:00:00+00:00,10574.0
2024-08-04 11:00:00+00:00,10510.0
2024-08-04 12:00:00+00:00,10671.0
2024-08-04 13:00:00+00:00,10643.0
2024-08-04 14:00:00+00:00,10716.0
2024-08-04 15:00:00+00:00,10691.0
2024-08-04 16:00:00+00:00,10418.0
2024-08-04 17:00:00+00:00,10617.0
2024-08-04 18:00:00+00:00,10700.0
2024-08-04 19:00:00+00:00,10660.0
2024-08-04 20:00:00+00:00,10585.0
2024-08-04 21:00:00+00:00,10649.0
2024-08-04 22:00:00+00:00,10636.0
2024-08-04 23:00:00+00:00,10659.0
2024-08-05 00:00:00+00:00,10444.0
2024-08-05 01:00:00+00:00,10631.0
2024-08-05 02:00:00+00:00,10431.0
2024-08-05 03:00:00+00:00,10640.0
2024-08-05 04:00:00+00:00,10574.0
2024-08-05 05:00:00+00:00,10556.0
2024-08-05 06:00:00+00:00,10578.0
2024-08-05 07:00:00+00:00,10528.0
2024-08-05 08:00:00+00:00,10426.0
2024-08-05 09:00:00+00:00,10656.0
