date,mslp,tmpf,counts12,counts13,counts23
2024-07-19 06:00:00,1016.0,73.0,10598.0,5644.0,10442.0
2024-07-19 07:00:00,1016.1,73.0,10770.0,5713.0,10468.0
2024-07-19 08:00:00,1016.4,73.0,10588.0,5579.0,10359.0
2024-07-19 09:00:00,1016.5,73.0,10729.0,5655.0,10474.0
2024-07-19 10:00:00,1017.2,73.0,10718.0,5727.0,10362.0
2024-07-19 11:00:00,1017.5,74.0,10771.0,5618.0,10220.0
2024-07-19 12:00:00,1018.1,76.0,10639.0,5596.0,10486.0
2024-07-19 13:00:00,1018.3,77.0,10759.0,5653.0,10502.0
2024-07-19 14:00:00,1018.5,79.0,10568.0,5616.0,10231.0
2024-07-19 15:00:00,1018.6,80.0,10656.0,5644.0,10400.0
2024-07-19 16:00:00,1018.7,81.0,10676.0,5641.0,10494.0
2024-07-19 17:00:00,1018.3,82.0,10925.0,5904.0,10846.0
2024-07-19 18:00:00,1017.3,83.0,10832.0,5803.0,10529.0
2024-07-19 19:00:00,1016.9,85.0,10775.0,5709.0,10576.0
2024-07-19 20:00:00,1016.4,86.0,10783.0,5681.0,10560.0
2024-07-19 21:00:00,1016.4,84.0,10759.0,5739.0,10421.0
2024-07-19 22:00:00,1016.4,83.0,10776.0,5665.0,10381.0
2024-07-19 23:00:00,1017.2,82.0,10868.0,5718.0,10527.0
2024-07-20 00:00:00,1018.0,74.0,10677.0,5592.0,10375.0
2024-07-20 01:00:00,1018.6,75.0,10793.0,5782.0,10539.0
2024-07-20 02:00:00,1018.9,74.0,10396.0,5509.0,10235.0
2024-07-20 03:00:00,1019.1,73.0,10607.0,5607.0,10494.0
2024-07-20 04:00:00,1019.1,73.0,10849.0,5687.0,10353.0
2024-07-20 05:00:00,1018.9,73.0,10651.0,5616.0,10471.0
2024-07-20 06:00:00,1018.1,73.0,10819.0,5746.0,10456.0
2024-07-20 07:00:00,1018.2,73.0,10808.0,5721.0,10432.0
2024-07-20 08:00:00,1018.0,73.0,10691.0,5602.0,10387.0
2024-07-20 09:00:00,1018.5,72.0,10442.0,5602.0,10321.0
2024-07-20 10:00:00,1018.8,71.0,10839.0,5691.0,10364.0
2024-07-20 11:00:00,1019.2,71.0,10827.0,5675.0,10369.0
2024-07-20 12:00:00,1019.5,73.0,10579.0,5607.0,10361.0
2024-07-20 13:00:00,1019.7,74.0,10660.0,5639.0,10308.0
2024-07-20 14:00:00,1020.0,76.0,10710.0,5697.0,10264.0
2024-07-20 15:00:00,1020.3,78.0,10808.0,5805.0,10490.0
2024-07-20 16:00:00,1019.3,81.0,10634.0,5693.0,10538.0
2024-07-20 17:00:00,1018.4,82.0,10595.0,5598.0,10487.0
2024-07-20 18:00:00,1018.4,82.0,10741.0,5672.0,10319.0
2024-07-20 19:00:00,1018.4,82.0,10506.0,5580.0,10409.0
2024-07-20 20:00:00,1017.7,82.0,10634.0,5686.0,10214.0
2024-07-20 21:00:00,1017.6,81.0,10591.0,5646.0,10317.0
2024-07-20 22:00:00,1017.8,81.0,10687.0,5710.0,10512.0
2024-07-20 23:00:00,1017.1,80.0,10649.0,5693.0,10463.0
2024-07-21 00:00:00,1017.8,79.0,10613.0,5509.0,10136.0
